1292,4095,607,779,3.61,2.13,8.45,HELLO
1293,4095,607,779,3.77,2.06,8.70,HELLO
1293,4095,606,778,3.87,2.20,8.96,HELLO
1292,4095,605,778,3.73,2.25,9.16,HELLO
1292,4095,606,777,3.97,2.44,9.00,HELLO
1292,4095,607,777,3.58,2.49,9.58,HELLO
1291,4095,607,777,3.91,2.91,8.69,HELLO
1292,4095,607,777,3.34,3.03,8.80,HELLO
1293,4095,608,777,3.27,3.02,8.76,HELLO
1292,4095,608,776,3.12,3.03,8.88,HELLO
1292,4095,608,776,3.10,3.46,8.63,HELLO
1292,4095,608,777,2.96,3.58,8.83,HELLO
1291,4095,607,778,3.22,3.57,9.34,HELLO
1290,4095,608,777,3.15,3.27,9.71,HELLO
1291,4095,607,777,2.94,3.31,9.91,HELLO
1292,4095,607,777,3.14,3.18,9.87,HELLO
1292,4095,608,777,2.72,2.81,10.33,HELLO
1293,4095,608,777,2.56,2.36,10.36,HELLO
1292,4040,609,777,2.35,2.06,10.20,HELLO
1293,3958,607,778,2.59,1.63,9.85,HELLO
1292,3878,608,778,2.72,1.33,9.62,HELLO
1292,3796,609,778,2.44,1.18,9.79,HELLO
1291,3715,608,778,2.47,0.89,9.58,HELLO
1292,3633,608,778,2.76,0.65,9.22,HELLO
1293,3551,607,779,3.15,0.87,9.09,HELLO
1293,3470,608,779,3.22,0.85,9.08,HELLO
1293,3388,608,779,3.89,0.64,8.75,HELLO
1293,3307,609,779,4.88,0.83,8.31,HELLO
1293,3225,608,780,4.21,0.89,8.67,HELLO
1293,3144,608,780,3.50,1.11,9.14,HELLO
1293,3062,608,780,3.59,1.31,9.29,HELLO
1293,2980,607,779,3.54,1.41,9.50,HELLO
1293,2898,607,779,3.69,1.25,9.40,HELLO
1293,2871,608,778,3.85,1.50,9.26,HELLO
1292,2871,607,779,3.91,1.58,9.23,HELLO
1292,2871,607,778,3.46,1.63,9.39,HELLO
1292,2870,605,779,2.96,1.72,9.54,HELLO
1292,2870,606,779,2.48,1.76,9.89,HELLO
1292,2870,607,780,2.52,1.78,9.73,HELLO
1292,2869,608,780,2.30,1.83,9.98,HELLO
1291,2869,608,780,2.43,1.85,9.76,HELLO
1291,2869,607,780,2.51,2.04,9.71,HELLO
1291,2868,607,780,2.82,2.33,9.68,HELLO
1291,2869,607,780,2.77,2.28,9.37,HELLO
1291,2868,607,780,2.20,2.56,9.98,HELLO
1291,2868,607,780,2.60,2.56,9.81,HELLO
1290,2868,607,782,2.88,2.42,10.01,HELLO
1290,2867,607,781,2.90,2.28,9.11,HELLO
1290,2867,606,781,3.22,2.95,8.64,HELLO
1290,2868,607,781,3.78,2.76,8.57,HELLO
1291,2867,607,781,4.28,2.58,8.61,HELLO
1292,2866,607,781,4.17,2.54,9.01,HELLO
1292,2866,607,781,3.81,2.26,9.08,HELLO
1292,2866,606,781,3.91,2.07,9.24,HELLO
1292,2867,606,780,4.64,1.96,8.89,HELLO
1292,2867,606,778,4.29,1.90,8.88,HELLO
1293,2867,606,777,4.29,2.35,8.21,HELLO
1293,2868,607,777,3.85,2.60,8.60,HELLO
1294,2868,607,776,3.89,2.51,8.63,HELLO
1293,2868,607,777,3.61,2.57,8.93,HELLO
1293,2868,608,777,3.76,2.43,8.96,HELLO
1294,2869,606,777,3.44,2.23,9.14,HELLO
1294,2869,608,777,3.27,2.18,9.29,HELLO
1294,2869,608,777,3.31,2.05,9.59,HELLO
1294,2868,609,777,3.25,2.11,9.50,HELLO
1294,2870,609,777,3.22,2.30,9.42,HELLO
1293,2869,609,777,3.25,2.18,9.76,HELLO
1293,2870,609,777,3.30,1.94,9.79,HELLO
1293,2870,609,777,3.14,1.99,10.02,HELLO
1292,2870,608,777,3.06,1.81,9.95,HELLO
1293,2870,608,779,2.87,1.63,10.06,HELLO
1293,2870,608,781,2.90,1.58,9.83,HELLO
1292,2869,607,781,2.96,1.58,9.67,HELLO
1292,2870,607,782,3.00,1.54,9.54,HELLO
1292,2869,607,782,3.03,1.45,9.36,HELLO
1291,2869,608,782,2.99,1.49,9.34,HELLO
1291,2868,608,782,3.44,1.48,9.14,HELLO
1291,2869,608,782,3.47,1.41,9.11,HELLO
1291,2869,608,783,3.64,1.34,9.15,HELLO
1291,2869,608,783,3.82,1.30,8.91,HELLO
1291,2868,607,782,4.10,1.32,8.97,HELLO
1291,2869,607,783,4.78,1.21,8.82,HELLO
1292,2870,608,783,4.58,1.17,8.37,HELLO
1291,2869,608,784,3.80,1.43,8.77,HELLO
1291,2869,608,783,4.02,1.64,8.45,HELLO
1290,2870,608,783,3.56,1.51,9.06,HELLO
1290,2869,608,783,3.74,1.46,8.77,HELLO
1289,2869,607,783,3.11,1.65,9.49,HELLO
1289,2869,608,782,3.30,1.46,9.47,HELLO
1289,2870,609,782,3.10,1.52,10.03,HELLO
1291,2870,608,782,3.23,1.30,9.90,HELLO
1290,2870,608,782,3.06,1.39,9.77,HELLO
1290,2870,609,782,2.93,1.04,9.49,HELLO
1291,2869,610,781,2.51,1.36,10.26,HELLO
1290,2869,609,781,2.81,1.00,10.16,HELLO
1290,2868,611,781,2.51,1.00,10.76,HELLO
1290,2867,611,780,2.77,0.98,10.67,HELLO
1291,2867,610,781,2.74,1.12,10.32,HELLO
1292,2867,610,780,2.68,1.34,10.12,HELLO
1292,2867,611,780,3.00,1.37,9.34,HELLO
1293,2867,611,780,3.00,1.59,8.75,HELLO
1293,2866,612,780,2.38,1.13,9.90,HELLO
1293,2866,611,780,2.97,0.70,9.94,HELLO
1293,2866,611,781,2.69,0.53,10.04,HELLO
1294,2865,610,781,2.61,0.59,9.58,HELLO
1293,2865,610,781,3.02,0.56,9.20,HELLO
1293,2865,610,781,3.11,0.43,9.03,HELLO
1294,2866,610,782,3.30,0.60,9.24,HELLO
1294,2867,610,782,4.24,0.38,8.84,HELLO
1295,2868,610,782,4.04,0.24,8.91,HELLO
1295,2868,608,782,3.59,0.42,8.93,HELLO
1295,2868,608,783,3.40,0.66,9.50,HELLO
1293,2869,608,783,3.65,0.45,9.52,HELLO
1293,2869,609,783,3.56,0.66,9.54,HELLO
1294,2868,607,784,3.31,0.73,9.24,HELLO
1294,2867,608,783,3.43,0.90,9.01,HELLO
1294,2867,607,783,3.18,1.13,8.77,HELLO
1293,2867,607,784,2.78,1.05,9.44,HELLO
1294,2867,607,784,2.68,1.15,9.42,HELLO
1293,2868,607,784,2.21,1.41,9.75,HELLO
1293,2868,607,783,1.64,1.47,10.43,HELLO
1294,2868,607,783,2.19,1.44,10.47,HELLO
1293,2868,606,783,1.98,1.54,10.46,HELLO
1293,2868,605,782,1.92,1.93,10.54,HELLO
1293,2868,604,782,1.80,1.89,10.44,HELLO
1293,2868,605,781,1.76,1.91,10.30,HELLO
1294,2868,605,780,1.46,1.87,10.11,HELLO
1294,2867,606,781,1.70,1.92,10.20,HELLO
1294,2866,605,780,2.30,1.85,9.96,HELLO
1294,2868,606,780,2.55,2.06,9.95,HELLO
1294,2869,607,781,2.95,2.13,9.70,HELLO
1293,2869,607,781,3.08,2.03,9.28,HELLO
1294,2869,607,781,2.95,2.18,9.15,HELLO
1293,2869,608,781,2.88,2.09,9.18,HELLO
1293,2870,608,782,2.66,2.10,9.43,HELLO
1294,2869,607,781,2.92,2.08,9.44,HELLO
1293,2869,608,782,3.15,2.13,9.06,HELLO
1293,2869,608,781,2.85,2.11,9.36,HELLO
1292,2869,608,781,3.27,2.08,9.21,HELLO
1292,2869,609,783,3.73,2.06,9.07,HELLO
1292,2868,610,783,4.37,1.85,8.73,HELLO
1292,2869,610,784,3.86,1.96,8.72,HELLO
1292,2870,610,783,3.60,2.10,8.47,HELLO
1292,2870,610,783,3.25,2.40,8.49,HELLO
1293,2869,610,782,3.12,2.18,9.06,HELLO
1293,2869,608,782,3.55,2.15,8.72,HELLO
1294,2868,608,781,3.39,2.28,8.92,HELLO
1293,2869,608,781,3.08,2.25,9.07,HELLO
1293,2869,609,780,3.03,2.35,9.37,HELLO
1293,2869,609,780,2.60,2.54,9.80,HELLO
1292,2869,609,780,2.39,2.43,10.02,HELLO
1292,2868,607,780,2.27,2.58,10.09,HELLO
1292,2868,608,780,2.13,2.67,9.99,HELLO
1293,2868,609,779,1.90,2.73,10.30,HELLO
1292,2868,608,779,1.87,2.86,10.21,HELLO
1293,2868,606,779,1.66,3.12,10.12,HELLO
1293,2867,604,779,1.94,3.04,9.88,HELLO
1292,2866,604,779,1.96,3.16,9.70,HELLO
1292,2867,606,779,2.45,3.14,9.19,HELLO
1291,2867,606,780,2.89,3.18,9.08,HELLO
1291,2866,607,780,2.94,3.00,8.77,HELLO
1291,2866,607,780,3.19,3.11,8.65,HELLO
1292,2866,608,780,2.96,3.13,8.86,HELLO
1293,2867,606,781,2.84,2.95,9.50,HELLO
1293,2867,606,780,3.06,2.80,9.24,HELLO
1294,2867,606,779,2.89,3.10,9.32,HELLO
1293,2868,607,779,2.94,3.30,9.08,HELLO
1293,2867,607,780,3.07,3.08,9.04,HELLO
1293,2867,607,779,2.88,3.03,9.26,HELLO
1293,2867,608,779,3.02,2.83,9.39,HELLO
1292,2867,611,779,3.22,2.84,8.88,HELLO
1293,2867,612,780,3.30,2.79,9.17,HELLO
1293,2867,611,780,3.92,2.71,8.60,HELLO
1293,2866,611,780,3.84,2.63,8.63,HELLO
1294,2866,609,780,3.45,2.78,8.78,HELLO
1293,2865,609,779,3.37,2.84,8.93,HELLO
1293,2865,608,779,3.28,2.70,9.28,HELLO
1292,2865,609,780,3.15,2.70,9.35,HELLO
1292,2864,608,779,3.11,2.83,9.25,HELLO
1292,2864,609,781,2.81,2.86,9.49,HELLO
1292,2864,609,781,2.86,2.93,9.17,HELLO
1293,2863,607,781,2.86,3.14,9.08,HELLO
1293,2864,607,781,2.82,3.16,9.29,HELLO
1293,2865,606,781,3.10,3.25,9.27,HELLO
1293,2865,605,781,2.71,3.17,9.48,HELLO
1293,2866,605,781,2.58,3.09,9.69,HELLO
1293,2866,605,781,3.05,3.00,9.42,HELLO
1293,2867,607,781,2.97,2.90,9.41,HELLO
1292,2867,606,781,2.89,2.62,9.34,HELLO
1292,2868,606,782,2.78,2.51,9.41,HELLO
1293,2868,606,783,2.59,2.20,9.63,HELLO
1292,2868,607,782,2.79,2.02,9.83,HELLO
1293,2868,607,782,2.72,1.82,9.78,HELLO
1292,2868,607,782,2.77,1.93,9.23,HELLO
1293,2868,606,781,4.04,2.05,8.62,HELLO
1293,2868,606,782,4.70,1.65,8.18,HELLO
1293,2868,607,781,4.29,1.70,8.66,HELLO
1293,2868,606,782,3.44,2.06,9.27,HELLO
1294,2868,606,781,3.22,2.08,9.35,HELLO
1293,2869,606,781,3.03,1.91,9.71,HELLO
1293,2868,605,781,3.41,1.67,9.36,HELLO
1292,2868,605,781,3.41,1.64,9.40,HELLO
1292,2868,604,780,3.39,1.44,8.88,HELLO
1294,2867,604,781,3.31,1.54,9.14,HELLO
1293,2867,605,780,3.68,1.68,8.72,HELLO
1293,2866,605,780,3.42,1.87,8.96,HELLO
1293,2867,605,781,2.45,1.77,9.72,HELLO
1292,2867,606,779,2.36,1.64,10.18,HELLO
1292,2867,606,779,2.57,1.67,10.44,HELLO
1293,2867,607,780,2.46,1.43,10.53,HELLO
1292,2867,606,780,2.33,1.25,10.54,HELLO
1292,2867,608,780,2.18,1.21,10.29,HELLO
1293,2866,607,781,2.28,1.13,10.03,HELLO
1292,2866,608,781,2.39,1.17,9.83,HELLO
1292,2866,608,781,2.44,1.26,9.54,HELLO
1292,2866,609,780,2.51,1.36,9.48,HELLO
1293,2866,608,780,2.61,1.11,9.37,HELLO
1293,2865,608,780,2.84,1.30,9.08,HELLO
1292,2866,609,779,2.72,1.39,9.34,HELLO
1293,2866,609,779,2.65,0.99,9.34,HELLO
1293,2867,607,778,2.81,1.33,9.79,HELLO
1293,2867,607,778,2.73,1.20,10.27,HELLO
1294,2867,606,778,2.76,1.12,10.01,HELLO
1294,2868,606,778,2.72,1.02,9.76,HELLO
1294,2868,604,777,2.88,1.02,9.63,HELLO
1294,2868,604,777,3.21,0.89,9.60,HELLO
1294,2868,605,777,3.68,0.80,9.24,HELLO
1295,2866,605,777,3.45,0.74,9.18,HELLO
1295,2867,605,778,3.55,0.98,8.75,HELLO
1295,2867,605,777,3.03,1.15,9.07,HELLO
1295,2867,605,777,3.01,1.20,9.26,HELLO
1294,2868,606,778,3.10,1.25,9.33,HELLO
1294,2868,606,778,3.12,1.19,9.40,HELLO
1294,2868,606,778,2.32,1.60,9.53,HELLO
1294,2869,606,778,2.25,1.61,9.92,HELLO
1295,2868,607,779,2.95,1.19,9.74,HELLO
1294,2867,607,779,2.74,1.45,9.45,HELLO
1294,2867,607,779,2.27,1.36,9.52,HELLO
1294,2867,607,780,2.24,1.37,9.46,HELLO
1294,2867,608,780,1.92,1.24,9.98,HELLO
1294,2867,609,780,1.87,1.37,10.21,HELLO
1295,2867,608,779,2.03,1.21,10.44,HELLO
1294,2868,609,780,2.15,0.90,10.29,HELLO
1294,2868,609,780,2.59,1.00,10.02,HELLO
1294,2869,609,780,2.00,1.22,10.11,HELLO
1293,2868,609,780,1.98,1.23,10.12,HELLO
1294,2868,609,779,2.27,1.61,9.79,HELLO
1294,2868,608,779,2.00,1.63,9.96,HELLO
1294,2867,608,779,2.09,1.60,9.65,HELLO
1293,2867,607,779,2.48,1.46,9.67,HELLO
1293,2866,608,779,2.84,1.38,9.54,HELLO
1293,2866,609,780,3.03,1.13,8.99,HELLO
1293,2866,609,779,2.72,1.33,9.06,HELLO
1292,2866,611,779,2.94,1.31,9.56,HELLO
1292,2866,611,780,2.97,1.35,9.64,HELLO
1291,2867,612,779,2.71,1.54,9.83,HELLO
1291,2866,612,780,2.83,1.53,9.61,HELLO
1291,2867,610,779,2.79,1.78,9.39,HELLO
1290,2867,611,779,2.48,1.83,9.55,HELLO
1290,2866,611,779,2.93,1.61,9.10,HELLO
1291,2867,611,780,3.06,1.52,9.05,HELLO
1291,2866,610,780,2.55,1.69,9.52,HELLO
1291,2866,611,780,2.56,1.70,9.51,HELLO
1290,2867,610,780,1.99,1.58,9.99,HELLO
1290,2866,610,780,2.00,1.59,10.19,HELLO
1289,2868,609,780,1.92,1.54,10.21,HELLO
1289,2868,609,780,2.20,2.02,10.44,HELLO
1289,2868,609,781,2.41,2.21,10.21,HELLO
1290,2867,608,780,2.43,2.53,9.84,HELLO
1290,2867,608,780,2.15,2.67,9.57,HELLO
1290,2866,607,781,2.28,2.89,9.67,HELLO
1290,2866,607,781,2.68,2.73,9.81,HELLO
1289,2867,607,782,2.67,2.59,9.75,HELLO
1289,2867,607,781,2.81,2.53,9.51,HELLO
1289,2867,607,781,3.20,2.68,9.62,HELLO
1289,2867,607,780,2.70,2.34,9.00,HELLO
1290,2867,608,780,2.49,2.33,9.38,HELLO
1289,2868,606,780,3.03,2.13,9.24,HELLO
1290,2868,605,780,2.97,2.60,9.25,HELLO
1290,2869,607,780,3.12,2.87,9.60,HELLO
1291,2867,607,780,3.39,2.72,9.67,HELLO
1290,2867,606,780,3.46,2.67,9.22,HELLO
1291,2868,607,780,3.74,2.66,8.59,HELLO
1291,2869,607,781,3.86,2.62,8.62,HELLO
1291,2869,607,781,3.93,2.26,8.74,HELLO
1291,2868,607,780,3.81,2.09,8.87,HELLO
1291,2868,608,780,3.54,2.03,9.05,HELLO
1292,2868,608,779,4.45,2.03,8.51,HELLO
1293,2868,606,779,3.92,2.15,8.60,HELLO
1293,2867,606,778,3.64,2.18,8.94,HELLO
1293,2868,606,779,3.47,2.09,9.24,HELLO
1293,2868,606,779,3.36,2.20,9.47,HELLO
1294,2868,607,779,3.02,2.38,9.62,HELLO
1295,2867,608,779,3.15,2.48,9.39,HELLO
1295,2867,608,778,3.15,3.11,9.20,HELLO
1295,2868,608,778,2.80,2.73,9.24,HELLO
1295,2868,607,778,2.75,1.87,9.55,HELLO
1295,2867,606,777,2.49,2.00,10.47,HELLO
1295,2868,606,777,2.83,1.36,10.34,HELLO
1296,2867,605,777,3.12,0.71,10.16,HELLO
1295,2868,605,777,2.78,0.44,9.86,HELLO
1295,2869,605,777,2.57,0.47,9.92,HELLO
1295,2868,605,777,2.86,0.21,9.78,HELLO
1294,2868,605,777,2.89,0.49,9.53,HELLO
1294,2868,605,778,2.77,0.68,9.49,HELLO
1294,2868,605,777,3.15,0.78,9.16,HELLO
1294,2869,604,776,3.89,1.00,9.10,HELLO
1294,2869,604,775,4.25,1.01,8.94,HELLO
1293,2870,604,775,4.13,0.99,8.97,HELLO
1292,2869,603,776,4.12,1.26,9.22,HELLO
1291,2869,603,776,3.63,0.94,9.68,HELLO
